Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,Brand
ltip rules,7,7,70,24,0,https://blog.curocomp.com/long-term-incentive-plans,2,0.18,0,0,218000,"[11,11,11,44,100,44,44,11,11,0,0,11]",2021-06-09,"Video, Featured snippet, People also ask",,Organic,Non-Branded
remuneration review software,7,1,50,35,0,https://curocomp.com/,2,0.18,0,0,39300000,"[100,100,0,100,100,100,100,100,100,100,0,0]",2021-06-15,"Reviews, Ads top, People also ask, FAQ",,Organic,Non-Branded
ltip design,7,7,50,13,0,https://blog.curocomp.com/long-term-incentive-plans,2,0.18,0,0.06,248000,"[33,11,11,11,11,11,22,11,11,33,11,100]",2021-06-14,People also ask,,Organic,Non-Branded
lti performance,7,12,70,22,0,https://blog.curocomp.com/long-term-incentive-plans,2,0.18,0,0,8440000,"[60,40,40,20,20,20,80,100,20,20,20,20]",2021-06-09,"Reviews, People also ask",,Organic,Non-Branded
curo crm system,8,0,90,6,0,https://curocomp.com/,2,0.18,0,0.71,91,"[29,100,0,14,0,14,14,14,0,14,14,14]",2021-06-05,"Image pack, Reviews, Video, Ads bottom",,Organic,Branded
lti salary,8,8,90,35,0,https://blog.curocomp.com/long-term-incentive-plans,2,0.18,0,0,94,"[20,20,100,60,20,20,20,20,20,20,100,20]",2021-06-06,"Image pack, Reviews, Video, Featured snippet, People also ask",,Organic,Non-Branded
worldatwork 2019,8,28,70,9,0,https://blog.curocomp.com/partner-news/worldatwork-2019-total-rewards-conference-exhibition,2,0.18,0,0,1140000,"[11,100,11,11,11,11,11,0,11,78,11,0]",2021-06-11,"Reviews, Video, Video Carousel",,Organic,Non-Branded
compensation solutions employee login,9,78,90,31,0,https://curocomp.com/,2,0.18,0,0,124000000,"[100,100,20,40,20,20,20,40,20,20,0,0]",2021-06-05,Reviews,,Organic,Non-Branded
cash incentive plan,9,14,90,26,4.88,https://blog.curocomp.com/long-term-incentive-plans,2,0.18,13,0.14,54400000,"[33,33,33,100,33,33,67,67,67,33,33,33]",2021-06-05,"Image pack, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
short term incentive plan template,11,27,50,27,2.81,https://blog.curocomp.com/long-term-incentive-plans,2,0.18,6,0.34,132000000,"[11,11,11,22,11,11,11,0,100,11,11,11]",2021-06-15,"Image pack, Featured snippet, People also ask",,Organic,Non-Branded
equal pay day 2020,14,13,390,50,0,https://blog.curocomp.com/equal-pay-day-strategies-and-solutions,2,0.18,0,0,574000000,"[100,32,32,32,72,39,39,26,11,7,11,39]",2021-06-22,"Instant answer, Video, Video Carousel, People also ask",,Organic,Non-Branded
payfactors careers,2,0,110,62,0,https://payfactors.com/about/,2,0.06,0,0,251000,"[100,64,50,64,79,100,79,79,79,79,79,79]",2020-01-28,"Image pack, Sitelinks, Reviews, Jobs search",,Organic,Branded
freelance job offer letter,2,1,20,73,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,2,0.06,0,0,52400000,"[11,0,78,100,78,0,11,11,22,0,0,0]",2020-01-09,"Sitelinks, Reviews, Featured snippet",,Organic,Non-Branded
at will language in offer letter,2,2,20,77,0,https://payfactors.com/will-job-offer-letters-write-free-template/,2,0.06,0,0.02,299000000,"[56,22,11,44,11,22,11,11,11,11,33,100]",2020-01-13,Sitelinks,,Organic,Non-Branded
compcon 2018,2,2,20,69,0,https://payfactors.com/announcing-compcon-payfactors-first-ever-conference/,2,0.06,0,0,360000,"[33,67,33,33,33,100,0,33,33,33,0,67]",2020-01-06,"Image pack, Sitelinks, Reviews",,Organic,Non-Branded
sample letter for part time employment,5,5,40,76,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,2,0.06,0,0.03,108000000,"[22,0,0,78,11,44,11,33,100,11,100,56]",2019-12-22,"Image pack, Sitelinks",,Organic,Non-Branded
will job,6,6,40,84,0,https://payfactors.com/will-job-offer-letters-write-free-template/,2,0.06,0,0.01,9860000000,"[14,14,57,29,29,57,14,14,71,14,14,100]",2019-12-26,Sitelinks,,Organic,Non-Branded
base compensation meaning,6,7,50,77,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,2,0.06,0,0,74800000,"[80,40,20,20,20,20,100,20,20,20,20,100]",2020-01-26,"Featured snippet, People also ask",,Organic,Non-Branded
part time to full time letter to employee,6,8,40,76,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,2,0.06,0,0,199000000,"[40,0,20,0,20,20,60,0,20,100,0,20]",2020-01-16,Image pack,,Organic,Non-Branded
tdc total,7,6,70,78,0,https://info.payfactors.com/total-direct-compensation-lpnd,2,0.06,0,0,7190000,"[0,0,0,100,100,0,0,0,0,0,100,0]",2020-01-18,"Image pack, Video Carousel",,Organic,Non-Branded
ways to determine pay increases for employees,7,8,50,74,0,https://payfactors.com/how-to-determine-pay-raises-without-getting-a-headache/,2,0.06,0,0,628000000,"[100,25,25,75,0,0,25,0,0,0,0,75]",2020-01-02,Featured snippet,,Organic,Non-Branded
hourly employee offer letter california,9,9,90,68,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,2,0.06,0,0.4,7580000,"[0,0,0,0,0,0,0,100,33,33,33,33]",2019-12-24,"Image pack, Sitelinks",,Organic,Non-Branded
what is total salary,10,16,70,85,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,2,0.06,0,0,380000000,"[50,25,25,25,25,75,25,25,100,25,25,25]",2020-01-05,"Knowledge panel, Reviews",,Organic,Non-Branded
base salary vs basic salary,10,10,90,76,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,2,0.06,0,0,214000000,"[20,80,20,100,40,60,40,60,20,60,20,20]",2020-01-12,"Reviews, Featured snippet",,Organic,Non-Branded
comp strategy,10,8,90,70,0,https://payfactors.com/move-comp-strategy-stone-age/,2,0.06,0,0.19,95400000,"[33,100,33,67,33,33,33,67,33,33,33,33]",2020-01-06,"Image pack, Featured snippet",,Organic,Non-Branded
interim job offer letter template,11,11,50,78,1.9,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,2,0.06,4,0.43,41800000,"[20,20,100,20,0,20,0,0,20,20,20,20]",2019-12-21,"Image pack, Sitelinks",,Organic,Non-Branded
administrative controller job description,11,11,50,73,0,https://payfactors.com/write-controller-job-description-guide/,2,0.06,0,0.06,34300000,"[67,67,33,33,33,100,33,100,33,33,33,33]",2019-12-22,"Sitelinks, Featured snippet",,Organic,Non-Branded
offer letter email,18,25,720,73,1.14,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,2,0.06,2,0.1,426000000,"[82,55,44,55,67,67,100,100,100,100,100,82]",2020-01-05,"Image pack, Sitelinks, Featured snippet",,Organic,Non-Branded
employment offer letter sample,20,20,880,80,1.8,https://payfactors.com/will-job-offer-letters-write-free-template/,2,0.06,4,0.33,849000000,"[68,68,68,77,68,68,68,68,68,100,100,68]",2019-12-26,"Image pack, Sitelinks, Reviews",,Organic,Non-Branded
offer letter example,26,28,1600,79,1.51,https://payfactors.com/include-entry-level-job-offer-letter-sample-template-included/,2,0.06,3,0.14,275000000,"[42,42,37,42,54,54,67,67,67,79,100,79]",2020-01-04,"Image pack, Sitelinks",,Organic,Non-Branded
storytelling with data,35,42,3600,72,3.43,https://payfactors.com/storytelling-with-data/,2,0.06,8,0.7,83400000,"[82,66,55,82,66,82,82,82,82,82,100,100]",2020-01-31,"Knowledge panel, Image pack, Sitelinks, Reviews, Shopping ads, Video Carousel, People also ask",,Organic,Non-Branded
compensation review process,3,13,20,12,3.36,https://blog.curocomp.com/how-to-handle-compensation-reviews,1,0.09,6,0.2,311000000,"[14,14,14,71,43,14,100,14,14,29,14,100]",2021-06-29,"Sitelinks, Reviews, Video Carousel, People also ask",,Organic,Non-Branded
pay equity software,4,1,20,24,5.29,https://curocomp.com/products/curo-pay-equity-analysis-software/,1,0.09,7,0.88,163000000,"[25,50,25,75,25,50,25,100,50,25,25,50]",2021-06-29,"Sitelinks, Featured snippet, Video Carousel, People also ask",,Organic,Non-Branded
curo payments review,7,7,30,12,0,https://curocomp.com/,1,0.09,0,0,476000,"[20,20,20,20,20,20,100,60,20,100,20,20]",2021-06-23,"Reviews, People also ask, FAQ",,Organic,Branded
curo application,7,7,30,20,0,https://curocomp.com/,1,0.09,0,0.01,370000,"[14,100,71,14,14,57,14,57,14,14,57,14]",2021-06-23,"Sitelinks, Reviews, Video, People also ask",,Organic,Branded
ltip units,7,8,30,17,0,https://blog.curocomp.com/long-term-incentive-plans,1,0.09,0,0,96,"[50,25,50,25,25,50,25,25,100,50,25,25]",2021-06-26,"Image pack, Video, Featured snippet, People also ask",,Organic,Non-Branded
gender pay gap reporting 2019 deadline,7,14,30,22,0,https://blog.curocomp.com/uk-gender-pay-gap-reporting-deadline-coming-april-2020,1,0.09,0,0,4850000,"[100,0,100,100,100,0,100,0,0,0,0,0]",2021-06-24,"Featured snippet, People also ask",,Organic,Non-Branded
curo layoffs,8,10,50,22,0,https://curomarketing.curocomp.com/webinar-pay-transparency-transition-from-aspiration-to-reality,1,0.09,0,0,20500,"[50,50,0,50,0,100,50,0,0,0,0,0]",2021-06-12,Reviews,,Organic,Branded
pay gap law uk,9,17,50,37,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,1,0.09,0,0,128000000,"[0,0,0,14,14,100,43,14,0,0,0,0]",2021-06-15,"Featured snippet, People also ask, FAQ",,Organic,Non-Branded
pay equity consulting,9,9,50,11,5.63,https://blog.curocomp.com/growing-demand-for-pay-equity-services,1,0.09,8,0.64,72800000,"[11,11,44,33,11,11,78,22,33,100,22,11]",2021-06-11,"Video Carousel, People also ask",,Organic,Non-Branded
gender pay gap software,10,10,50,31,0,https://curocomp.com/products/curo-gender-pay-gap-compliance-software/,1,0.09,0,0.14,63600000,"[33,67,33,33,33,33,100,33,100,0,100,100]",2021-06-14,"Sitelinks, Reviews, Featured snippet",,Organic,Non-Branded
what is the current uk gender pay gap,10,27,50,52,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,1,0.09,0,0,87600000,"[0,0,29,14,14,14,0,100,0,0,0,0]",2021-06-15,"Featured snippet, Video Carousel, People also ask, FAQ",,Organic,Non-Branded
gender pay audit,11,12,30,35,0,https://blog.curocomp.com/getting-started-performing-pay-equity-audits,1,0.09,0,0,53100000,"[14,14,14,14,29,29,14,14,100,14,14,43]",2021-06-24,People also ask,,Organic,Non-Branded
remuneration management system,11,23,40,43,0,https://curocomp.com/,1,0.09,0,0,43600000,"[14,100,0,14,14,14,29,100,14,14,14,29]",2021-06-20,"Video, Featured snippet, People also ask",,Organic,Non-Branded
curopay,12,13,140,17,0,https://curocomp.com/,1,0.09,0,0.01,98,"[67,81,81,100,67,52,43,43,67,81,81,52]",2021-06-03,"Sitelinks, Reviews, People also ask",,Organic,Branded
compensation management,30,0,720,35,4.03,https://curocomp.com/expertise/compensation-management/,1,0.09,4,0.18,400000000,"[100,82,82,67,82,100,82,82,82,82,100,100]",2021-06-29,"Reviews, Video Carousel, People also ask, FAQ",,Organic,Non-Branded
payfactors salary budget survey,2,2,50,38,4.27,https://info.payfactors.com/salary-budget-survey,1,0.03,5,0.3,65,"[0,0,0,0,0,0,0,0,0,50,100,50]",2020-01-26,"Image pack, Reviews",,Organic,Branded
payfactors careers,3,2,110,62,0,https://payfactors.com/,1,0.03,0,0,251000,"[100,64,50,64,79,100,79,79,79,79,79,79]",2020-01-28,"Image pack, Sitelinks, Reviews, Jobs search",,Organic,Branded
full time offer letter,3,3,20,76,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,1,0.03,0,0.16,1890000000,"[11,11,11,44,56,11,22,11,100,11,22,11]",2020-01-06,"Sitelinks, Video, Featured snippet",,Organic,Non-Branded
cash compensation meaning,3,3,20,83,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,1,0.03,0,0,52300000,"[0,0,0,0,0,0,0,0,100,11,11,56]",2019-12-31,Featured snippet,,Organic,Non-Branded
compcon 2018,3,3,20,69,0,https://payfactors.com/compcon-recap-comp-coffee-ep-16/,1,0.03,0,0,360000,"[33,67,33,33,33,100,0,33,33,33,0,67]",2020-01-06,"Image pack, Sitelinks, Reviews",,Organic,Non-Branded
sample benefits package letter,5,5,30,73,0,https://payfactors.com/job-offer-letters-free-sample-templates/,1,0.03,0,0.25,239000000,"[29,100,14,57,14,14,29,14,100,71,100,14]",2020-01-06,"Image pack, Sitelinks",,Organic,Non-Branded
dynamic description,5,5,20,73,0,https://payfactors.com/from-good-to-great-how-to-write-dynamic-job-descriptions/,1,0.03,0,0,332000000,"[25,25,25,25,100,25,25,25,25,25,25,25]",2020-01-10,"Image pack, Reviews, Featured snippet",,Organic,Non-Branded
total direct compensation,5,8,30,69,0,https://info.payfactors.com/total-direct-compensation-lpnd,1,0.03,0,0,147000000,"[24,3,2,8,3,12,29,7,2,2,54,100]",2020-01-06,Featured snippet,,Organic,Non-Branded
software comp,5,5,20,64,6.85,https://payfactors.com/,1,0.03,6,0.41,368000000,"[25,100,25,25,75,25,25,25,25,25,25,25]",2020-01-22,"Ads bottom, People also ask",,Organic,Non-Branded
salary budget survey,7,8,40,63,4.16,https://info.payfactors.com/salary-budget-survey-2019,1,0.03,6,0.37,44100000,"[14,14,100,14,29,14,14,14,14,43,43,14]",2020-01-12,Image pack,,Organic,Non-Branded
rejection letter salary too high,7,9,30,76,0,https://payfactors.com/candidate-desired-compensation-too-high/,1,0.03,0,0,64300000,"[14,14,29,29,43,14,14,29,43,100,71,14]",2020-01-08,"Image pack, Reviews",,Organic,Non-Branded
salary vs total compensation,8,7,40,77,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,1,0.03,0,0.01,95100000,"[4,15,12,4,27,35,8,54,4,65,100,54]",2020-01-09,"Sitelinks, Featured snippet",,Organic,Non-Branded
informal offer letter,8,8,50,76,0,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,1,0.03,0,0.03,60900000,"[25,25,25,25,25,100,100,25,25,25,25,50]",2020-01-01,"Sitelinks, Featured snippet",,Organic,Non-Branded
tcc salary,8,10,50,78,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,1,0.03,0,0.02,78,"[20,20,20,20,80,40,20,60,20,20,60,100]",2020-01-22,"Image pack, Featured snippet",,Organic,Non-Branded
compensation survey software,9,8,40,66,13.33,https://payfactors.com/product/,1,0.03,15,0.9,53400000,"[11,44,11,22,11,11,11,11,11,11,100,11]",2020-01-16,"Image pack, Sitelinks",,Organic,Non-Branded
offer letter language,10,11,40,76,0,https://payfactors.com/will-job-offer-letters-write-free-template/,1,0.03,0,0.02,266000000,"[22,11,33,11,100,33,11,11,11,11,56,11]",2020-01-05,"Image pack, Sitelinks",,Organic,Non-Branded
initial offer letter,10,10,50,78,0,https://payfactors.com/job-offer-letters-free-sample-templates/,1,0.03,0,0.06,178000000,"[14,14,14,100,14,29,14,14,14,14,14,14]",2019-12-22,"Image pack, Sitelinks",,Organic,Non-Branded
official job offer letter samples,11,15,30,77,0,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,1,0.03,0,0.18,749000000,"[14,14,29,14,14,14,29,71,0,71,100,57]",2020-01-10,"Image pack, Sitelinks, Reviews, Video, Featured snippet",,Organic,Non-Branded
offer letter for trainee,11,0,40,74,0,https://payfactors.com/include-entry-level-job-offer-letter-sample-template-included/,1,0.03,0,0.06,36300000,"[11,22,100,11,100,11,11,22,33,11,56,11]",2020-01-20,"Image pack, Video, People also ask, FAQ",,Organic,Non-Branded
how to write job offer email,11,33,30,76,0,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,1,0.03,0,0,708000000,"[20,40,40,20,20,20,100,20,40,20,80,20]",2020-01-05,Sitelinks,,Organic,Non-Branded
how to write an employee offer letter,11,11,30,78,0,https://payfactors.com/job-offer-letters-free-sample-templates/,1,0.03,0,0.18,227000000,"[20,40,20,20,20,20,40,20,100,20,20,20]",2019-12-29,"Image pack, Sitelinks, Reviews, Featured snippet",,Organic,Non-Branded
vacations all i ever wanted,12,12,140,77,0,https://payfactors.com/vacations-comp-coffee-ep-29/,1,0.03,0,0,48500,"[28,22,34,22,34,34,34,44,53,100,53,28]",2019-12-28,"Image pack, Sitelinks, Reviews, Video, Featured video",,Organic,Non-Branded
genius gif,13,0,1000,81,0,https://payfactors.com/how-comp-strategists-become-strategic-business-allies/genius-gif/,1,0.03,0,0,97,"[55,45,45,45,45,55,45,55,63,100,100,100]",2020-01-02,"Video, Featured snippet",,Organic,Non-Branded
what is annual base salary,14,14,210,82,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,1,0.03,0,0,98200000,"[81,81,81,100,81,81,81,100,100,100,81,100]",2019-12-29,Featured snippet,,Organic,Non-Branded
what is your desired compensation,15,13,320,76,5.43,https://payfactors.com/candidate-desired-compensation-too-high/,1,0.03,8,0.01,60300000,"[82,54,54,82,82,82,67,82,82,67,82,100]",2020-01-12,"Image pack, Featured snippet",,Organic,Non-Branded
base salary meaning,17,17,260,85,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,1,0.03,0,0,72100000,"[66,66,44,66,81,100,100,81,81,81,100,66]",2019-12-30,Featured snippet,,Organic,Non-Branded
job offer template,19,19,590,77,1.44,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,1,0.03,2,0.19,245000000,"[67,67,54,67,67,82,100,100,82,100,100,100]",2019-12-27,"Sitelinks, Reviews, Featured snippet",,Organic,Non-Branded
goggins david,20,18,590,78,1.54,https://payfactors.com/david-goggins-comp-coffee/,1,0.03,2,0.01,6250000,"[5,5,88,39,39,100,88,72,59,48,48,59]",2020-01-29,"Knowledge panel, Sitelinks, Reviews, Video Carousel, People also ask",,Organic,Non-Branded
job offer template,20,20,590,77,1.44,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,1,0.03,2,0.19,245000000,"[67,67,54,67,67,82,100,100,82,100,100,100]",2019-12-27,"Sitelinks, Reviews, Featured snippet",,Organic,Non-Branded
david goggins hands,24,35,1300,86,0,https://payfactors.com/david-goggins-comp-coffee/,1,0.03,0,0,971000,"[13,13,100,100,67,54,37,37,42,67,79,67]",2020-01-07,"Image pack, Sitelinks, Reviews, Video",,Organic,Non-Branded
job offer letter example,25,31,880,80,1.32,https://payfactors.com/include-entry-level-job-offer-letter-sample-template-included/,1,0.03,1,0.13,313000000,"[68,55,45,55,45,55,68,68,68,100,100,100]",2020-01-11,"Image pack, Sitelinks",,Organic,Non-Branded
employment offer letter template,25,22,880,79,2.34,https://payfactors.com/will-job-offer-letters-write-free-template/,1,0.03,3,0.47,158000000,"[45,45,37,68,55,68,68,68,77,100,100,77]",2020-01-19,"Sitelinks, Reviews, Featured snippet, Ads bottom, People also ask, FAQ",,Organic,Non-Branded
david goggins before and after,27,28,880,74,0,https://payfactors.com/david-goggins-comp-coffee/,1,0.03,0,0,3980000,"[16,16,63,45,30,45,37,55,63,100,81,63]",2020-01-07,"Knowledge panel, Sitelinks, Reviews",,Organic,Non-Branded
remunerative,42,24,5400,90,0,https://payfactors.com/whats-remuneration-vs-compensation/,1,0.03,0,0,54100000,"[44,36,44,100,67,55,55,67,55,55,55,44]",2020-01-31,"Instant answer, People also ask",,Organic,Non-Branded
curo logo,3,4,50,31,0,https://curocomp.com/,0,0,0,0,5400000,"[11,11,11,100,11,11,78,11,11,33,11,11]",2021-06-12,"Image pack, Sitelinks, Reviews, FAQ",,Organic,Branded
how to do a pay equity analysis,8,10,30,39,4.48,https://blog.curocomp.com/getting-started-performing-pay-equity-audits,0,0,4,0.61,364000000,"[11,11,11,11,11,11,11,100,22,11,11,11]",2021-06-21,"Featured snippet, Video Carousel, People also ask",,Organic,Non-Branded
pay gap uk gender,9,52,30,56,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,0,0,0,0,136000000,"[25,25,0,25,50,25,25,100,25,0,0,25]",2021-06-26,"Image pack, Sitelinks, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
